0:0:0:0:0:0:0:1 - - [10/May/2024:06:19:09 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [10/May/2024:06:19:09 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:06:19:09 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:06:20:17 +0800] "GET /comp4321/apis/getData.jsp?input=Test%20please%20 HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [10/May/2024:06:20:17 +0800] "GET /comp4321/apis/getData.jsp?input=Test%20please%20 HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [10/May/2024:06:23:18 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:06:23:18 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:06:23:18 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:06:23:18 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [10/May/2024:06:23:19 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:06:24:22 +0800] "GET /comp4321/apis/getData.jsp?input=test%20 HTTP/1.1" 500 1435
0:0:0:0:0:0:0:1 - - [10/May/2024:06:24:22 +0800] "GET /comp4321/apis/getData.jsp?input=test%20 HTTP/1.1" 500 1435
0:0:0:0:0:0:0:1 - - [10/May/2024:06:26:33 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:06:26:33 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:06:26:33 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [10/May/2024:06:26:33 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:06:26:33 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:06:26:38 +0800] "GET /comp4321/apis/getData.jsp?input= HTTP/1.1" 500 2233
0:0:0:0:0:0:0:1 - - [10/May/2024:06:26:42 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 2233
0:0:0:0:0:0:0:1 - - [10/May/2024:06:26:42 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 2849
0:0:0:0:0:0:0:1 - - [10/May/2024:06:26:42 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 2849
0:0:0:0:0:0:0:1 - - [10/May/2024:06:26:42 +0800] "GET /comp4321/apis/getData.jsp?input=test HTTP/1.1" 500 2849
0:0:0:0:0:0:0:1 - - [10/May/2024:06:26:42 +0800] "GET /comp4321/apis/getData.jsp?input= HTTP/1.1" 500 2849
0:0:0:0:0:0:0:1 - - [10/May/2024:06:29:27 +0800] "GET /comp4321/ HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [10/May/2024:06:29:27 +0800] "GET /comp4321/styles.css HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [10/May/2024:06:29:27 +0800] "GET /comp4321/utils/utils.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [10/May/2024:06:29:27 +0800] "GET /comp4321/utils/getData.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [10/May/2024:06:29:27 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/May/2024:06:29:33 +0800] "GET /comp4321/apis/getData.jsp?input=test%20 HTTP/1.1" 500 2271
